id,text,user_name,id_str,created,retweet_count
75,Ideal way for leadership to reward the longs (who persevere &amp; build  foundation of $ENZC stock) is to stay mainly q… https://t.co/QgD3PTmIhs,_WAVVO,1408179107892846592,2021-06-24T21:43:56,0
76,Y'all hear something?,sbximperial,1408179107914002437,2021-06-24T21:43:56,0
77,"RT @RNCResearch: While President Trump and Republicans were leading the fastest vaccine development and rollout in history, Biden and Harri…",Antoinotabot,1408179107972661250,2021-06-24T21:43:56,0
78,RT @jemmy_wood: Hey Julian… how’s this tweet going for you now?,brummer_brumm,1408179107909849096,2021-06-24T21:43:56,0
79,"RT @nathanpsmad: ⏱ La course entre le variant delta et la vaccination a déjà commencé

Les vaccins disponibles sont très efficaces (&gt; 90%)…",Jigsmo,1408179108224319490,2021-06-24T21:43:56,0
80,Othal Wallace: 5 Fast Facts You Need to Know | https://t.co/3C18gXyNO9 https://t.co/g8u4El3WDx #WantedFugitive,Agent99XXX,1408179108178182147,2021-06-24T21:43:56,0
81,RT @CoreyRForrester: FREEDOM. FLAG. FUCK YOU!!,cardon_brian,1408179108211838980,2021-06-24T21:43:56,0
82,RT @ryukyushimpo: ご当地フラペチーノ販売へ　スタバ日本25周年　47都道府県　沖縄はちんすこう　https://t.co/1LhRjtdvJk,BREEZE3102,1408179108400418819,2021-06-24T21:43:56,0
83,Windows10が最後じゃないの？と思ったけど、年2のアップデートの延長線上で、名前をWindows11という分かりやすい名称に変えただけって感じか。,m_will33,1408179108480053248,2021-06-24T21:43:56,0
84,次世代OS『Windows 11』発表。ゲーム向けにXbox Series X|Sにも搭載された「オートHDR」や「ダイレクトストレージ」が追加、Win10からの無償アップグレードは2021年後半スタート予定… https://t.co/SIFUyXRAYG,m_shinya80,1408179108463316994,2021-06-24T21:43:56,0
85,"RT @cagrimbakirci: ABD'de COVID-19 nedeniyle ölenlerin %99.2'sini *aşılanmamışlar* oluşturuyor.

%99.2!

Aklı olan aşılanır.

""Endişe"" adı…",anneinsan,1408179108631257090,2021-06-24T21:43:56,0
86,"公開が楽しみです。
 https://t.co/QjzfjiRxRc",to_momo,1408179108710805504,2021-06-24T21:43:56,0
87,Had all the #Vardy stuff not happened this would be huge news. #ROC #Soccer now has a solidified pipeline to the pr… https://t.co/CFYpXTrQJ1,PastaGut,1408179108626960387,2021-06-24T21:43:56,0
88,"RT @OffLalanne: .Ils essayent l'escroquerie du ""variant Delta"" pour tenter de pousser les gens à leur dosage et gagner de l'argent ! On ne…",France53504267,1408179108887072773,2021-06-24T21:43:56,0
89,@Kelly_K_77 @Archimides1982 @cppeterson @ShaunBizzy @MrColinBoyd @briantylercohen @CocoMentos @mattgaetz Because th… https://t.co/cYMP7YNfhx,Lethal6199Rblx,1408179108799037445,2021-06-24T21:43:56,0
90,This. #auspol quite possibly the most dangerous news is sky free to air everywhere with no local news content.,OpChildrenFirst,1408179108987604998,2021-06-24T21:43:56,0
91,"RT @AngelaRayner: Rob Roberts should not be an MP for another day longer, and he should be let nowhere Parliament or any staff. 

This case…",AndyBuzzTaylor,1408179109101031430,2021-06-24T21:43:56,0
92,"RT @SD_GUNDAM_WORLD: ／
『#SDガンダムワールド ヒーローズ』お宝GET❗️キャンペーン開催🎉
＼

🎁応募方法
①@SD_GUNDAM_WORLD をフォロー
②このツイートRT🔁

抽選で20名様に、宮内さん(@garumasousen)直筆サイン色紙…",e_ma0319,1408179109184770053,2021-06-24T21:43:56,0
93,@Trader000001 Wonderful News ! Let’s Go BPOTY!!!,TeishaLlewellyn,1408179109163896833,2021-06-24T21:43:56,0
